id,status,duration,start_date,start_station,end_date
119,Closed,394,28-07-2011 13:16,10,28-07-2011 13:23
174,Closed,386,28-07-2011 15:55,24,28-07-2011 16:01
218,Closed,589,28-07-2011 16:56,22,28-07-2011 17:05
238,Closed,1425,28-07-2011 17:16,9,28-07-2011 17:40
276,Closed,465,28-07-2011 17:52,44,28-07-2011 18:00
303,Closed,6481,28-07-2011 18:24,26,28-07-2011 20:12
327,Closed,1254,28-07-2011 18:50,46,28-07-2011 19:11
371,Closed,3715,28-07-2011 19:49,47,28-07-2011 20:51
388,Closed,2226,28-07-2011 20:08,36,28-07-2011 20:45
415,Closed,833,28-07-2011 21:25,47,28-07-2011 21:39
440,Closed,1381,28-07-2011 22:21,35,28-07-2011 22:44
448,Closed,723,28-07-2011 22:52,31,28-07-2011 23:04
467,Closed,1073,28-07-2011 23:42,23,29-07-2011 00:00
494,Closed,274,29-07-2011 02:23,39,29-07-2011 02:27
521,Closed,639,29-07-2011 07:41,39,29-07-2011 07:51
604,Closed,1478,29-07-2011 11:05,22,29-07-2011 11:30
605,Closed,923,29-07-2011 11:07,36,29-07-2011 11:22
654,Closed,293,29-07-2011 12:30,32,29-07-2011 12:35
720,Closed,1285,29-07-2011 13:41,40,29-07-2011 14:03
748,Closed,13581,29-07-2011 14:36,36,29-07-2011 18:22
775,Closed,1635,29-07-2011 15:03,21,29-07-2011 15:30
788,Closed,877,29-07-2011 15:10,27,29-07-2011 15:25
790,Closed,1368,29-07-2011 15:13,14,29-07-2011 15:36
795,Closed,1565,29-07-2011 15:24,41,29-07-2011 15:50
836,Closed,708,29-07-2011 16:23,38,29-07-2011 16:34
849,Closed,376,29-07-2011 16:30,10,29-07-2011 16:37
851,Closed,957,29-07-2011 16:33,16,29-07-2011 16:49
858,Closed,930,29-07-2011 16:39,6,29-07-2011 16:54
959,Closed,1030,29-07-2011 19:01,30,29-07-2011 19:18
1018,Closed,1090,29-07-2011 20:16,36,29-07-2011 20:34
1082,Closed,5640,30-07-2011 03:03,43,30-07-2011 04:37
1120,Closed,105280,30-07-2011 08:21,8,31-07-2011 13:36
1121,Closed,860,30-07-2011 08:21,8,30-07-2011 08:35
1198,Closed,1580,30-07-2011 11:19,17,30-07-2011 11:45
1310,Closed,2390,30-07-2011 13:16,38,30-07-2011 13:56
1316,Closed,3917,30-07-2011 13:18,6,30-07-2011 14:23
1346,Closed,1150,30-07-2011 13:44,47,30-07-2011 14:03
1371,Closed,1400,30-07-2011 14:05,47,30-07-2011 14:28
1373,Closed,1027,30-07-2011 14:09,42,30-07-2011 14:27
1378,Closed,1543,30-07-2011 14:10,14,30-07-2011 14:36
1398,Closed,9891,30-07-2011 14:30,24,30-07-2011 17:15
1407,Closed,3727,30-07-2011 14:34,38,30-07-2011 15:36
1439,Closed,7212,30-07-2011 15:08,20,30-07-2011 17:08
1460,Closed,1896,30-07-2011 15:17,38,30-07-2011 15:49
1466,Closed,857,30-07-2011 15:30,32,30-07-2011 15:44
1467,Closed,1100,30-07-2011 15:32,23,30-07-2011 15:50
1485,Closed,321,30-07-2011 15:48,25,30-07-2011 15:53
1488,Closed,614,30-07-2011 15:52,42,30-07-2011 16:02
1493,Closed,4359,30-07-2011 15:54,36,30-07-2011 17:07
1510,Closed,1385,30-07-2011 16:02,23,30-07-2011 16:26
1516,Closed,5688,30-07-2011 16:05,9,30-07-2011 17:40
1521,Closed,1278,30-07-2011 16:08,12,30-07-2011 16:29
1556,Closed,627,30-07-2011 16:30,21,30-07-2011 16:41
1558,Closed,1296,30-07-2011 16:34,36,30-07-2011 16:55
1598,Closed,15477,30-07-2011 16:58,48,30-07-2011 21:16
1636,Closed,1382,30-07-2011 17:27,42,30-07-2011 17:50
1665,Closed,1420,30-07-2011 17:48,20,30-07-2011 18:12
1704,Closed,1721,30-07-2011 18:20,21,30-07-2011 18:48
1723,Closed,5829,30-07-2011 18:35,47,30-07-2011 20:12
1736,Closed,1509,30-07-2011 18:47,43,30-07-2011 19:12
1771,Closed,3465,30-07-2011 19:20,30,30-07-2011 20:17
1789,Closed,1062,30-07-2011 19:43,36,30-07-2011 20:00
1800,Closed,624,30-07-2011 19:58,39,30-07-2011 20:08
1827,Closed,2489,30-07-2011 20:18,42,30-07-2011 21:00
1869,Closed,2398,30-07-2011 21:14,6,30-07-2011 21:54
1880,Closed,575,30-07-2011 21:25,34,30-07-2011 21:35
1884,Closed,6004,30-07-2011 21:30,41,30-07-2011 23:10
1897,Closed,799,30-07-2011 21:58,36,30-07-2011 22:12
1916,Closed,878,30-07-2011 22:26,36,30-07-2011 22:41
1971,Closed,1128,31-07-2011 00:47,40,31-07-2011 01:06
2033,Closed,722,31-07-2011 09:06,47,31-07-2011 09:18
2037,Closed,9924,31-07-2011 09:15,36,31-07-2011 12:01
2038,Closed,504,31-07-2011 09:19,49,31-07-2011 09:27
2093,Closed,3295,31-07-2011 10:44,36,31-07-2011 11:39
2110,Closed,2563,31-07-2011 10:52,38,31-07-2011 11:35
2138,Closed,13263,31-07-2011 11:34,36,31-07-2011 15:15
2139,Closed,930,31-07-2011 11:34,52,31-07-2011 11:50
2188,Closed,2713,31-07-2011 12:06,38,31-07-2011 12:51
